"","S1.mean","S2.mean","S3.mean","S4.mean","GC.mean","PB.mean","NBC.mean","MBC.mean","dropout","Special"
"AMPL131261",0.337876331002066,0.341815797415314,0.307248524939147,0.309300387057419,0.215838391299388,0.387576021084807,0.494654485667485,0.11626725312328,0.00815660685154973,"Normal"
"AMPL131263",0.920805642338307,0.928782517387667,0.933420796781385,0.936573050884675,0.756934715670279,0.870534823191136,0.904620457800567,0.575915298128116,0.000652528548124032,"Normal"
"AMPL131269",0.885693758558885,0.918924080310036,0.901541160578245,0.906170012505905,0.098231372798057,0.503819860323416,0.739609649864235,0.136417760059569,0.222349102773246,"Normal"
"AMPL131273",0.62154138311018,0.181016555395322,0.125806439085775,0.144715010503188,0.079703494411295,0.092318057119439,0.093868422914666,0.101934739541959,0.0905383360522023,"Normal"
"AMPL131282",0.931925215946542,0.925396569282315,0.919307910677254,0.917831217489101,0.343364532950138,0.650027039323684,0.77375405027575,0.268234707599546,0.0593800978792822,"Normal"
"AMPL131283",0.37849672206817,0.366660208814247,0.348861950563595,0.366669604292063,0.820026553959387,0.860511540441652,0.885534229831689,0.800447052783528,0.0225122349102773,"Normal"
"AMPL131284",0.6471903817831,0.622967412813975,0.577955730392494,0.588260488254481,0.858459594650484,0.883085510159202,0.906644105159949,0.851727378581383,0.10326264274062,"Normal"
"AMPL131291",0.537442057351278,0.5550787616859,0.541818228315135,0.559459052369637,0.12895920541505,0.157150887418421,0.181496785133243,0.11479837777093,0.0150081566068515,"Special"
"AMPL131292",0.335299096824669,0.077292928152661,0.070031791582914,0.067295395375155,0.055317746017415,0.054837730372213,0.057300931571967,0.059066566171853,0.132137030995106,"Normal"
"AMPL131298",0.831681422741954,0.829554633717761,0.793125201316476,0.821661111041391,0.661205134090535,0.794953787339521,0.854140074478691,0.597317799394669,0.0747145187601957,"Normal"
"AMPL131300",0.589769123678746,0.629443004166035,0.606680925201201,0.630434717658221,0.295582615656174,0.248234085268981,0.227887264932572,0.343253254280007,0.0106035889070146,"Special"
"AMPL131301",0.467855084809589,0.48525759424977,0.45925529571823,0.47389070096845,0.264808563841702,0.401060323722661,0.462770750198433,0.204987057301587,0.0117455138662317,"Normal"
"AMPL131303",0.386614182479575,0.369644757990898,0.315334491617716,0.335376703640682,0.05256172616869,0.13719942845771,0.183106191733307,0.05626287526973,0.101305057096248,"Normal"
"AMPL131304",0.880323129359192,0.522550349469769,0.26955635366018,0.231944873058602,0.043222822011044,0.063674712397733,0.071824552505764,0.075770030432608,0.00570962479608483,"Normal"
"AMPL131307",0.93490111931492,0.937171217178896,0.926987028837223,0.932424912323872,0.087281981159665,0.478376570206385,0.702839887892876,0.092273007183265,0.102773246329527,"Normal"
"AMPL131308",0.839568863332987,0.639281346651061,0.53758176475338,0.541026753928157,0.71996334730226,0.782462176584871,0.817084205911417,0.652498448129234,0.243066884176183,"Normal"
"AMPL131310",0.37530222284784,0.147689463691868,0.115767491985638,0.123643901940348,0.078677031836968,0.085558550203488,0.089793299676273,0.092286590320845,0.120065252854812,"Normal"
"AMPL131311",0.0768003207685,0.083025999462313,0.079294188749693,0.085215185638941,0.222874768077983,0.114199286445692,0.068106353157962,0.246013968941307,0.0486133768352366,"Normal"
"AMPL131312",0.712905442789349,0.647022230338529,0.435231169261521,0.237933243630505,0.070810429457816,0.072109407508655,0.069487010120806,0.09489353931674,0.0518760195758564,"Normal"
"AMPL131318",0.791801560074947,0.866910798721296,0.842932534566725,0.901631534454148,0.500103770913627,0.654363057947273,0.788768097622993,0.747130730704845,0.00554649265905383,"Normal"
"AMPL131320",0.299214785872839,0.483385121704274,0.461546605794547,0.472415845017502,0.397875672859076,0.389759692572697,0.386338889768424,0.389790649474879,0.180587275693312,"Normal"
"AMPL131337",0.536674495181554,0.393356381169858,0.348220147319358,0.346344539348665,0.298394931048711,0.328508675850143,0.352590976108906,0.352841764998805,0.0972267536704731,"Normal"
"AMPL131338",0.928847256960499,0.904291757436291,0.853427888260742,0.867710338822226,0.524019849060255,0.737697747081658,0.853901604175613,0.456993124003818,0.230179445350734,"Normal"
"AMPL131344",0.619573667499587,0.870224372386921,0.861161969755866,0.87491500384739,0.607348545829697,0.718099898850221,0.755751624361905,0.588525156684279,0.0921696574225123,"Normal"
"AMPL131346",0.803911226600591,0.887736566390421,0.887514208049007,0.913360228776928,0.629784129888016,0.795044980016724,0.880547778708568,0.436785472711794,0.0376835236541598,"Normal"
"AMPL131350",0.841847911485661,0.807578425052465,0.770708486296736,0.797261804576483,0.081268431861701,0.369709613662933,0.536835355354451,0.084335597663458,0.170636215334421,"Normal"
"AMPL131355",0.875708717954048,0.869160032312705,0.625689067027652,0.598747780104779,0.171140361236127,0.378026094634808,0.472833803808955,0.254526251237773,0.065742251223491,"Normal"
"AMPL131369",0.548543218815845,0.236907931452466,0.211445518668562,0.245014237447949,0.090433498444514,0.137528614224632,0.164506593843564,0.115944772766277,0.130342577487765,"Normal"
"AMPL199863",0.937507010802795,0.938313431760924,0.932294846210487,0.935749689022192,0.450457406897978,0.735487922217655,0.849704033848994,0.12651772872803,0.0851549755301795,"Normal"
"AMPL199892",0.902592500803519,0.89804066940905,0.681889283288058,0.691008038092905,0.764607923133879,0.71017914716503,0.694066144612686,0.886439048358617,0.0401305057096248,"Normal"
"AMPL199921",0.269191180629118,0.614566895192438,0.658341168925692,0.651840053868191,0.325830359840683,0.527349139542553,0.610763452771783,0.316431886382642,0.0556280587275694,"Normal"
